db_id,job_id,source,company,job_title,location,deadline,detail_url,matched,matched_company_id,matched_parent_name,match_method,alias_mapping_source,alias_confidence,alias_reason
42639,tata_6933ec16bdcade7217f27845,tatawangshen,,交易管理岗HZSC/管理培训生,,,https://wecruit.hotjob.cn/SU6149ff530dcad47003d01511/pb/posDetail.html?postId=69324bdab2d3b37709c1e8a7&postType=campus,False,,,unmatched,,,
46157,tata_68f0bb39a376efa7d8974d0b,tatawangshen,,科技信息岗,,,https://www.iguopin.com/job/detail?id=169782459523666597,False,,,unmatched,,,
46206,tata_68ef92c07812b30d1bd52c74,tatawangshen,,科技创新管理岗HNCZ,,,https://wecruit.hotjob.cn/SU6149ff530dcad47003d01511/pb/posDetail.html?postId=68ef082daffb62460200aaf3&postType=campus,False,,,unmatched,,,
46447,tata_68eb717288a912197a1a9a1b,tatawangshen,,电量交易管理岗HDZJ/管理培训生,,,https://wecruit.hotjob.cn/SU6149ff530dcad47003d01511/pb/posDetail.html?postId=68eb600fc30dea2edcdc7239&postType=campus,False,,,unmatched,,,
46448,tata_68ed093db4f10df6926e605e,tatawangshen,,信息化审计管理培训生KGZBSJ,,,https://wecruit.hotjob.cn/SU6149ff530dcad47003d01511/pb/posDetail.html?postId=68ec4358c30dea2edcde5011&postType=campus,False,,,unmatched,,,
46449,tata_68ecb4d2b4f10df6926e5f44,tatawangshen,,投资管理/政策研究管理培训生KGZBZL,,,https://wecruit.hotjob.cn/SU6149ff530dcad47003d01511/pb/posDetail.html?postId=68ec3ed7b7da1347a9b6a832&postType=campus,False,,,unmatched,,,
46450,tata_68ecabddfe48b809e7fc00bc,tatawangshen,,AI+燃料采购管理培训生KGZBRL,,,https://wecruit.hotjob.cn/SU6149ff530dcad47003d01511/pb/posDetail.html?postId=68ec3c61affb624602f8f65a&postType=campus,False,,,unmatched,,,
46451,tata_68ecb4c7fe48b809e7fc00e4,tatawangshen,,智能与数字化管理培训生KGZBKS,,,https://wecruit.hotjob.cn/SU6149ff530dcad47003d01511/pb/posDetail.html?postId=68ec3a32affb624602f8f5ed&postType=campus,False,,,unmatched,,,
46452,tata_68eea927a376efa7d8973e45,tatawangshen,,财务管理岗HZSC/管理培训生,,,https://wecruit.hotjob.cn/SU614cb115bef57c54dcbc6330/pb/posDetail.html?postId=68eb5b4db7da1347a9b43acf&postType=campus,False,,,unmatched,,,
46567,tata_68ec4f9bfe48b809e7fbfffe,tatawangshen,,财务管理培训生KGZBCW,,,https://wecruit.hotjob.cn/SU6149ff530dcad47003d01511/pb/posDetail.html?postId=68ec4238b7da1347a9b6aa7b&postType=campus,False,,,unmatched,,,
