comment_id,note_id,root_comment_id,parent_comment_id,target_comment_id,content,like_count,sub_comment_count,ip_location,status,create_time,create_time_iso,user_id,nickname,clean_content,keyword_hits
69c21c150000000015006a03,69c20a6900000000220241c5,,,,投研哪个岗bar低一点,0,4,北京,0,1774328854000,2026-03-24T13:07:34,6151e4fa000000000201fb83,鲲,投研哪个岗bar低一点,0
69c23af300000000010063c8,69c20a6900000000220241c5,,,,其实这类画像的留用成员中甚至还有一些是vip[捂脸R],4,5,上海,0,1774336755000,2026-03-24T15:19:15,671bd7de000000001d032557,momo,其实这类画像的留用成员中甚至还有一些是vip[捂脸R],0
69c2b2da000000000f02bd88,69c20a6900000000220241c5,,,,想问问一个人可以申几个岗位呀,1,2,天津,0,1774367451000,2026-03-24T23:50:51,5f807c24000000000101c42e,Jerry 王俣博,想问问一个人可以申几个岗位呀,0
69c245c10000000009007c9d,69c20a6900000000220241c5,,,,想问下基金中台岗类似产品，市场部等等hc和性价比如何,0,1,北京,0,1774339522000,2026-03-24T16:05:22,692060dc000000003702cd2f,Snowball,想问下基金中台岗类似产品，市场部等等hc和性价比如何,0
69ccee2200000000180229e3,69c20a6900000000220241c5,,,,hx严格执行中信集团对投研条线的本科白名单制，要突破请找背后神仙。,0,0,北京,0,1775037986000,2026-04-01T18:06:26,5fcf6658000000000101fdca,躺平的咸鱼,hx严格执行中信集团对投研条线的本科白名单制，要突破请找背后神仙。,0
69c354510000000016014b0a,69c20a6900000000220241c5,,,,还是当年简单 吹吹牛逼就去了[doge],1,0,天津,0,1774408786000,2026-03-25T11:19:46,565903df03eb843f8a16b95f,戊土,还是当年简单 吹吹牛逼就去了[doge],0
69dc414e0000000035014f44,69c20a6900000000220241c5,,,,怎么双开呀宝宝,0,0,四川,0,1776042319000,2026-04-13T09:05:19,612059bf0000000001005823,旺旺小小苏,怎么双开呀宝宝,0
69c225c10000000031003b09,69c20a6900000000220241c5,,,69c21c150000000015006a03,FoF,0,0,日本,0,1774331329000,2026-03-24T13:48:49,65d21cfc000000000401f6ea,二级求职,FoF,0
69ccef3f000000000d034ada,69c20a6900000000220241c5,,,69ccee86000000001d008160,是哇，所以贵司的vip都是名校毕业的嘛[偷笑R],0,0,上海,0,1775038271000,2026-04-01T18:11:11,671bd7de000000001d032557,momo,是哇，所以贵司的vip都是名校毕业的嘛[偷笑R],0
69c4a83000000000310312ba,69c20a6900000000220241c5,,,69c2b2da000000000f02bd88,具体我没看欸 不过官网肯定会写,0,0,日本,0,1774495793000,2026-03-26T11:29:53,65d21cfc000000000401f6ea,二级求职,具体我没看欸 不过官网肯定会写,0
69c4a8440000000032000487,69c20a6900000000220241c5,,,69c245c10000000009007c9d,上限有限但是过的舒服 关系户重灾区,1,0,日本,0,1774495812000,2026-03-26T11:30:12,65d21cfc000000000401f6ea,二级求职,上限有限但是过的舒服 关系户重灾区,0
65a4b4720000000001025ac5,65a4b215000000000f030827,,,,朋友你是华夏基金秋招吗？今年不是没开秋招,0,2,北京,0,1705292914000,2024-01-15T12:28:34,6260a1b10000000010007545,小红薯626175AC,朋友你是华夏基金秋招吗？今年不是没开秋招,0
65a85a38000000000102df65,65a4b215000000000f030827,,,,机构问题是不是也差不多呀[哭惹R],0,2,英国,0,1705531960000,2024-01-18T06:52:40,5f52b38b000000000100625d,404,机构问题是不是也差不多呀[哭惹R],0
65a7dc2e000000000200df8e,65a4b215000000000f030827,,,,你是这周一华夏面试伙伴的吗,0,0,北京,0,1705499694000,2024-01-17T21:54:54,5b04c9fb11be104be803d474,就爱睡大觉,你是这周一华夏面试伙伴的吗,0
6626181c00000000130263b5,65a4b215000000000f030827,,,,想求总结表[皱眉R],0,0,上海,0,1713772572000,2024-04-22T15:56:12,5e07f7ac0000000001002269,-Soothsayer-,想求总结表[皱眉R],0
65b6f8720000000008033648,65a4b215000000000f030827,,,,我好像也面了 但base北京太难了[哭惹R],1,0,广东,0,1706489970000,2024-01-29T08:59:30,5d459d930000000011025399,Stormrazor,我好像也面了 但base北京太难了[哭惹R],0
662b5e7f0000000013025846,65a4b215000000000f030827,,,,求分享,0,0,广东,0,1714118271000,2024-04-26T15:57:51,6209be5a000000001000676d,冰糖葫芦娃,求分享,0
