comment_id,note_id,root_comment_id,parent_comment_id,target_comment_id,content,like_count,sub_comment_count,ip_location,status,create_time,create_time_iso,user_id,nickname,clean_content,keyword_hits
67cbbb350000000015000c15,67cbb8e80000000029014116,,,,[飞吻R]需要资料和我整理的笔记的宝宝可以关注我，然后滴滴我呀,2,2,上海,4,1741404981000,2025-03-08T11:36:21,5b1bf23411be107830be2210,是千千也是万万,[飞吻R]需要资料和我整理的笔记的宝宝可以关注我，然后滴滴我呀,0
67cc46cf000000001702b49c,67cbb8e80000000029014116,,,,牛的，做了好多实习啊，对比之下我好摆哈哈,0,2,上海,0,1741440719000,2025-03-08T21:31:59,63b012460000000026010e22,2023210333,牛的，做了好多实习啊，对比之下我好摆哈哈,0
67cc0cea000000001702ae0d,67cbb8e80000000029014116,,,,假的不能再假 华融大厦的国泰君安是营业部,0,1,广东,0,1741425899000,2025-03-08T17:24:59,5e0e2073000000000100557c,薄荷,假的不能再假 华融大厦的国泰君安是营业部,0
67cc1b8c0000000015016ecd,67cbb8e80000000029014116,,,,同学你好，可以分享下资料吗，谢谢啦,0,1,上海,0,1741429645000,2025-03-08T18:27:25,5c0a419e0000000006010048,小浪花,同学你好，可以分享下资料吗，谢谢啦,0
67cc0bef000000001800d894,67cbb8e80000000029014116,,,,信用现在性价比太低了吧,0,2,上海,0,1741425647000,2025-03-08T17:20:47,636e325b000000002400b3ff,momo,信用现在性价比太低了吧,0
67d7c6ff0000000018011296,67cbb8e80000000029014116,,,,求资料[萌萌哒R],0,1,新加坡,0,1742194431000,2025-03-17T14:53:51,611e21120000000001001803,Irisa洒洒,求资料[萌萌哒R],0
67cbfcce0000000015001cff,67cbb8e80000000029014116,,,,你好，可以分享下资料吗？谢谢啦,0,1,北京,0,1741421774000,2025-03-08T16:16:14,6054b056000000000101f3bc,momo,你好，可以分享下资料吗？谢谢啦,0
67cbbf6a0000000015004079,67cbb8e80000000029014116,,,,最后一张图那个软件是啥,0,1,上海,0,1741406058000,2025-03-08T11:54:18,60f94960000000000101f590,momo,最后一张图那个软件是啥,0
67cbc3060000000012016574,67cbb8e80000000029014116,,,,可以问下姐姐本科期间做了哪些实习吗,1,1,浙江,3,1741406983000,2025-03-08T12:09:43,5e26f74c0000000001008c1a,Gakie,可以问下姐姐本科期间做了哪些实习吗,0
681b4ead000000000a0372f3,67cbb8e80000000029014116,,,,dd求资料[吧唧R],0,0,上海,3,1746620078000,2025-05-07T20:14:38,5f2a64e80000000001006775,Rolypoly,dd求资料[吧唧R],0
67cc12a30000000015006a0a,67cbb8e80000000029014116,,,67cbbb350000000015000c15,统一回复：有人评论和私信质疑地址问题，高德搜名字有很多地址我随便选了一个转发的，没有match，都有实习证明和聊天记录为证，没必要编[微笑R],2,0,上海,-2,1741427364000,2025-03-08T17:49:24,5b1bf23411be107830be2210,是千千也是万万,统一回复：有人评论和私信质疑地址问题，高德搜名字有很多地址我随便选了一个转发的，没有match，都有实习证明和聊天记录为证，没必要编[微笑R],0
67cc4d9100000000150057b7,67cbb8e80000000029014116,,,67cc46cf000000001702b49c,[皱眉R]我主打一个“菜就多练”,0,0,上海,0,1741442449000,2025-03-08T22:00:49,5b1bf23411be107830be2210,是千千也是万万,[皱眉R]我主打一个“菜就多练”,0
67cc0d5b000000001500289c,67cbb8e80000000029014116,,,67cc0cea000000001702ae0d,我没有match地址哈，只是随便搜高德转发到微信聊天里用来截图。国君这一段我是远程做的，带教是肖qunxi，你可以去搜～,3,0,上海,0,1741426011000,2025-03-08T17:26:51,5b1bf23411be107830be2210,是千千也是万万,我没有match地址哈，只是随便搜高德转发到微信聊天里用来截图。国君这一段我是远程做的，带教是肖qunxi，你可以去搜～,0
67cc1f5e000000000f038788,67cbb8e80000000029014116,,,67cc1b8c0000000015016ecd,你滴滴我一下吧 我发的第一条没发出去 提示对方未回复前我不能发第二条了[扶墙R],0,0,上海,0,1741430622000,2025-03-08T18:43:42,5b1bf23411be107830be2210,是千千也是万万,你滴滴我一下吧 我发的第一条没发出去 提示对方未回复前我不能发第二条了[扶墙R],0
67cc0db80000000015015ce0,67cbb8e80000000029014116,,,67cc0bef000000001800d894,yes 而且我的bg正职卷不进去[微笑R],0,0,上海,3,1741426104000,2025-03-08T17:28:24,5b1bf23411be107830be2210,是千千也是万万,yes 而且我的bg正职卷不进去[微笑R],0
