comment_id,note_id,root_comment_id,parent_comment_id,target_comment_id,content,like_count,sub_comment_count,ip_location,status,create_time,create_time_iso,user_id,nickname
696002890000000016027acd,695fab96000000002200a5d5,,,,势力冷漠没人情太对了，相比之下互联网好得多。。。,1,1,广东,0,1767899786000,2026-01-09T03:16:26,5d06efdb00000000110068e1,AAA暗之鸦王刘老二
695fbd3b0000000014036e8f,695fab96000000002200a5d5,,,,被盘问家底是真的[doge],1,2,上海,0,1767882044000,2026-01-08T22:20:44,62b83cc0000000001b02bcbf,Speakin9
6960e5d3000000001d00979d,695fab96000000002200a5d5,,,,4还真是，i人去了极度不适[doge],1,2,陕西,0,1767957971000,2026-01-09T19:26:11,642d8f4c000000001201171b,momo
69798570000000000600f579,695fab96000000002200a5d5,,,,还喜欢盘问感情史,3,1,广东,0,1769571697000,2026-01-28T11:41:37,65eefbfc0000000005009902,sy嘬一口ys
69cf75e7000000001d00b573,695fab96000000002200a5d5,,,,项目到了内核阶段的话，进去实习的性价比高吗？momo下半年就要秋招了[哭惹R],0,2,四川,0,1775203815000,2026-04-03T16:10:15,62c60de7000000001b002da2,退！退！退！
6986bfb2000000000b035ef8,695fab96000000002200a5d5,,,,双一流大一金融能找得到实习吗宝宝[皱眉R]想暑假开始实习了,0,2,新疆,0,1770438578000,2026-02-07T12:29:38,632d9b7c0000000015015fba,荷叶饭饭饭
696046c0000000000f0242ac,695fab96000000002200a5d5,,,,看来我实习真的遇到了很好的项目组[皱眉R],4,2,北京,0,1767917248000,2026-01-09T08:07:28,61742b0b000000001f03a648,我也不知道我是不是人类
695fdc01000000001d025cea,695fab96000000002200a5d5,,,,4也太对…,0,1,广东,0,1767889922000,2026-01-09T00:32:02,5e69d62d0000000001008409,momo
697ab25500000000190038e1,695fab96000000002200a5d5,,,,真挺因人而异了,1,0,广东,0,1769648725000,2026-01-29T09:05:25,604389c7000000000101d5a0,Snowball
6978df5e0000000006009638,695fab96000000002200a5d5,,,,Ktv 是商k吗,1,0,广东,0,1769529182000,2026-01-27T23:53:02,5b9b759817735400018e62f1,想发疯
696089d0000000001600d359,695fab96000000002200a5d5,,,696002890000000016027acd,非常！我现在遇到的是，急躁催促，干活想到实习生，有福利忘记实习生的大领导；对领导笑对实习生爱搭不理的同组人员；极其冷漠的mentor,1,0,四川,0,1767934417000,2026-01-09T12:53:37,5de134940000000001006968,魔法晴天
6960898d000000001601cd19,695fab96000000002200a5d5,,,695fbd3b0000000014036e8f,真的，推荐大家都把家底说厚点，领导真的会压榨你,5,0,四川,0,1767934350000,2026-01-09T12:52:30,5de134940000000001006968,魔法晴天
6961049500000000180211ac,695fab96000000002200a5d5,,,6960e5d3000000001d00979d,[哭惹R]为啥我没遇到过4，这不全是我特长吗,1,0,浙江,0,1767965845000,2026-01-09T21:37:25,60d07a960000000001006851,Nou Camp Nou
698398f8000000000f01be46,695fab96000000002200a5d5,,,69798570000000000600f579,对的，都喜欢搞点八卦[失望R][失望R],0,0,山东,0,1770232056000,2026-02-05T03:07:36,5e91035e000000000100bc98,TiAmoeo
69d2351200000000150035fa,695fab96000000002200a5d5,,,69cf75e7000000001d00b573,不好意思，我没有做到这个阶段，但我觉得如果title大的话还是去一下吧,0,0,澳大利亚,0,1775383827000,2026-04-05T18:10:27,5de134940000000001006968,魔法晴天
6986ced5000000000803154f,695fab96000000002200a5d5,,,6986bfb2000000000b035ef8,学历可能不太行，vip可以，我是硕士，全组基本都是硕士,0,0,北京,0,1770442454000,2026-02-07T13:34:14,5de134940000000001006968,魔法晴天
696089de000000001702d3d7,695fab96000000002200a5d5,,,696046c0000000000f0242ac,恭喜你！,0,0,四川,0,1767934430000,2026-01-09T12:53:50,5de134940000000001006968,魔法晴天
69608a00000000001601e2e7,695fab96000000002200a5d5,,,695fdc01000000001d025cea,哈哈哈哈，会带实习生？哈哈哈我们组没带，但是从只言片语知道玩的很花,0,0,四川,0,1767934464000,2026-01-09T12:54:24,5de134940000000001006968,魔法晴天
6960efc50000000014036d46,695fab96000000002200a5d5,,,,今天下班之前十分钟让我干的活儿，我下班之后干完了要现在交吗，还是明天再交[哭惹R],1,0,湖南,0,1767960517000,2026-01-09T20:08:37,620fd82e000000000201ba78,我供一块小蛋糕
697957f5000000000c00afc7,695fab96000000002200a5d5,,,,我们没这么不堪,0,0,广东,0,1769560053000,2026-01-28T08:27:33,55e5d55fc2bdeb42e664f3ee,哈哈哈
6982a40d000000000f01ca87,695fab96000000002200a5d5,,,,怎么说,0,0,湖南,3,1770169357000,2026-02-04T09:42:37,5b82c1bd26cd5c00014d38f0,睡觉的时候不困
6961a805000000001d01fb63,695fab96000000002200a5d5,,,,还好吧，我干过两家投行，一家研究所，人都挺好的，也没有加过班,0,0,广东,0,1768007685000,2026-01-10T09:14:45,68b256c8000000001901f465,cy
